型号,品牌,屏幕比例,屏幕尺寸,宽度,厚度,重量,电池,发布年份,SoC,类型,,,,,,
Jelly 2,Unihertz,16:9,3.0,49.4 ,16.5 ,107 ,2000 ,2020 ,Helio P60,直板,,,,,,
Jelly 2E,Unihertz,16:9,3.0,49.4 ,16.5 ,110 ,2000 ,2022 ,Helio A20,直板,,,,,,
Jelly Star,Unihertz,16:9,3.0,49.6 ,18.7 ,116 ,2000 ,2023 ,Helio G99,直板,,,,,,
Jelly Max,Unihertz,19:9,5.1,62.7 ,16.3 ,180 ,4000 ,2024 ,天玑7300,直板,,,,,,
2 Pro,Qin,22.5:9,5.1,55.4 ,8.6 ,105 ,2100 ,2019 ,展锐SC9863A,直板,,,,,,
F22 Pro,Qin,3:2,3.5,58.0 ,9.0 ,116 ,2150 ,2022 ,Helio G85,直板,,,,,,
3 Ultra,Qin,19:9,5.1,61.9 ,8.7 ,118 ,2500 ,2023 ,Helio G99,直板,,,,,,
K25,Qin,3:2,3.5,59.5 ,11.7 ,94 ,2150 ,2025 ,Helio G81,直板,,,,,,
GT8 Pro,BLUEFOX,20:9,4.3,52.0 ,9.9 ,139 ,2750 ,2024 ,Helio P22,直板,,,,,,
NX1,BLUEFOX,19.5:9,4.0,49.5 ,11.9 ,102 ,3000 ,2025 ,Helio G81,直板,,,,,,
??,BLUEFOX,20:9,4.7,54.6 ,,,3500 ,2026 ,Helio G100,直板,,,,,,
Hand,Rakuten,19:9,5.1,63.0 ,9.5 ,129 ,2750 ,2020 ,骁龙720G,直板,,,,,,
AQUOS R Compact,SHARP,17:9,4.9,66.0 ,9.6 ,140 ,2500 ,2017 ,骁龙660,直板,,,,,,
AQUOS R2 Compact,SHARP,19:9,5.2,64.0 ,9.3 ,135 ,2500 ,2019 ,骁龙845,直板,,,,,,
AQUOS sense5G,SHARP,19:9,5.8,71.0 ,8.9 ,178 ,4570 ,2020 ,骁龙690,直板,,,,,,
AQUOS sense6,SHARP,20:9,6.1,70.0 ,7.9 ,178 ,4570 ,2022 ,骁龙690,直板,,,,,,
AQUOS sense7,SHARP,20:9,6.1,70.0 ,8.0 ,158 ,4570 ,2023 ,骁龙695,直板,,,,,,
AQUOS sense8,SHARP,19.5:9,6.1,71.0 ,8.4 ,159 ,5000 ,2023 ,骁龙6,直板,,,,,,
iPhone 5S,Apple,16:9,4.0,58.6 ,7.6 ,112 ,1560 ,2013 ,A7,直板,,,,,,
iPhone SE 2016,Apple,16:9,4.0,58.6 ,7.6 ,113 ,1642 ,2016 ,A9,直板,,,,,,
iPhone 12 mini,Apple,19.5:9,5.4,64.2 ,7.4 ,133 ,2227 ,2020 ,A14,直板,,,,,,
iPhone 13 mini,Apple,19.5:9,5.4,64.2 ,7.6 ,140 ,2406 ,2021 ,A15,直板,,,,,,
iPhone 6,Apple,16:9,4.7,67.0 ,6.9 ,129 ,1810 ,2015 ,A8,直板,,,,,,
iPhone 6S,Apple,16:9,4.7,67.1 ,7.1 ,143 ,1715 ,2015 ,A9,直板,,,,,,
iPhone 7,Apple,16:9,4.7,67.1 ,7.1 ,138 ,1960 ,2016 ,A10,直板,,,,,,
iPhone 8,Apple,16:9,4.7,67.3 ,7.3 ,148 ,1821 ,2017 ,A11,直板,,,,,,
iPhone SE 2020,Apple,16:9,4.7,67.3 ,7.3 ,148 ,1821 ,2020 ,A13,直板,,,,,,
iPhone SE 2022,Apple,16:9,4.7,67.3 ,7.3 ,144 ,2018 ,2022 ,A15,直板,,,,,,
iPhone X,Apple,19.5:9,5.8,70.9 ,7.7 ,174 ,2716 ,2017 ,A11,直板,,,,,,
iPhone Xs,Apple,19.5:9,5.8,70.9 ,7.7 ,177 ,2658 ,2018 ,A12,直板,,,,,,
iPhone 11 Pro,Apple,19.5:9,5.8,71.4 ,8.1 ,188 ,3046 ,2019 ,A13,直板,,,,,,
iPhone 12,Apple,19.5:9,6.1,71.5 ,7.4 ,164 ,2815 ,2020 ,A14,直板,,,,,,
